"OPTIONSET","UDC_PRODUCT_GROUP","LOC","ENDDATE","PROJECTED_OH","SIMULATION_NAME"
"SNOP_BATCH_STORE_SKU_PROJ","BS","TN01","07-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGL","D1551","30-JUN-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","BS","D1422","07-MAR-25","6.49","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HRPO","JW13","07-MAR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HEX","MH02","14-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","TMT-CF","BR01","07-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","WR - AL","1214","21-MAR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGL_SECOND","1036","14-MAR-25","20.49","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","LRPC","PB01","31-MAR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","CRCA_DIVERSION","1013","30-APR-25","112.42","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","LRPC","AP02","07-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","NOFP","UP01","21-MAR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","CRCA","1483","21-MAR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","CRCA","1455","31-MAR-25","75.45","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","CRCA","MX01","14-MAR-25","147","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HRPO","UK01","21-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","GI","1481","31-MAY-25","4.29","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","WR - AL","1441","31-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","CRFH","D1018","07-APR-25","-.05","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HRGI","BR01","14-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HRPO","MX04","07-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","HRCTL","1481","07-MAR-25","18.25","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PRB_BRM","1445","28-FEB-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","GI","CH01","21-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGI","GJ01","07-APR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","LRPC","RJ02","21-MAY-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGI","D1018","07-APR-25","22.12","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","PPGL","D1566","14-APR-25","16.66","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","NOSP","UP02","21-MAR-25","0","MONTHLY_MAX_PROFIT"
"SNOP_BATCH_STORE_SKU_PROJ","AS CAST BLOOMS","1464","21-APR-25","0","MONTHLY_MAX_PROFIT"
